concepts in https://github.com/vcvpaiva/NLIMath/blob/main/proposed-golden-436/ChatGPT_Adjudicated_List.txt,,concepts by wikimapper and Lucy,,,nLab entry if found,
*-category,,,"not found in G, problem with *",A ∗-category is a category with an involution ∗ fixing the objects.,https://ncatlab.org/nlab/show/star-category,
2-categorical refinement,,,,,no nLab,
2-category,,2-category: Q4596935,,,https://ncatlab.org/nlab/show/2-category,
2-category theory,,,,,https://ncatlab.org/nlab/show/2-category+theory,
2-crossed module,,,,,https://ncatlab.org/nlab/show/2-crossed+module,
2-monad,,,,,https://ncatlab.org/nlab/show/2-monad,
3-category,,3-category: Q5758318,,,,
3-dimensional,,3-dimensional: Q34929,,,,
Abelian category,,Abelian category: Q318737,,,,
Ambrose-Singer theorem,,Ambrose-Singer theorem: Q907926,,,,
Arakelov compactification,,,,,no nLab,
Aufhebung,,Aufhebung: Q186999,,,,
Batanin's construction,,,,,no nLab,
Birkhoff's Variety Theorem,,,,,no nLab,
Birkhoff's theorem,,Birkhoff's theorem: Q3527020,,,,
Boolean algebra,,Boolean algebra: Q173183,,,,
Boolean flow,,,,,no nLab,
CAT,,CAT: Q1022892,disamb,,,
Cauchy filter,,Cauchy filter: Q1052692,,,,
Cech cohomology,,Cech cohomology: Q1095535,,,,
Chu construction,,,,,https://ncatlab.org/nlab/show/Chu+construction,
Chu-span,,,,,no nLab,
Day Reflection Theorem,,,,,no nLab,
Dedekind completion,,Dedekind completion: Q5249756,,,,
Dialectica construction,,,,,no nLab,
Dialectica-style interpretation,,Dialectica interpretation: Q5270518,Dialectica interpretation?,,https://ncatlab.org/nlab/show/Dialectica+interpretation,
Directed Algebraic Topology,,,remove?,,,
FOLDS,,,,,https://ncatlab.org/nlab/show/FOLDS,
FOLDS equivalence,,,remove?,,,
Feynman diagram,,Feynman diagram: Q386272,,,,
Finite Sum sketch,,,remove? sketch simply?,,,
Galois descent theory,,,descent only?,,https://ncatlab.org/nlab/show/descent,
Gray-category,,,,,https://ncatlab.org/nlab/show/Gray-category,
Grothendieck derivator,,,derivator only?,,https://ncatlab.org/nlab/show/derivator,
Grothendieck topos,,Grothendieck topos: Q2143621,,,https://ncatlab.org/nlab/show/Grothendieck+topos,
Hall algebra,,Hall algebra: Q5642657,,,,
Hecke algebra,,Hecke algebra: Q5696378,,,,
Heyting algebra,,Heyting algebra: Q1617044,,,,
Higgins commutator,,,,,no nLab,
Hilbert category,,,,,no Lab,
Hopf algebra,,Hopf algebra: Q1627597,,,,
Hopf formula,,,??,,no nLab,
Isbell adjunction,,,Isbell duality?,,https://ncatlab.org/nlab/show/Isbell+duality,
KZ-doctrine,,,,,no nLab,
Kan complex,,Kan complex: Q3915873,,,,
Kan condition,,,piKan-condition?,,https://ncatlab.org/nlab/show/%CF%80-Kan+condition,
Kan extension,,Kan extension: Q1723418,,,,
L-complete morphism,,,,,no nLab,
Lie algebra,,Lie algebra: Q664495,,,,
Lie group,,Lie group: Q622679,,,,
Lie groupoid,,Lie groupoid: Q6543824,,,,
MD-sketch,,,sketch simply?,,,
MIX rule,,,,,https://ncatlab.org/nlab/show/mix+rule,
Maltsev variety,,Maltsev variety: Q2589508,,,,
Morita equivalence,,Morita equivalence: Q6912366,,,,
Quillen equivalence,,,,,https://ncatlab.org/nlab/show/Quillen+equivalence,
R-injective,,,,,no nLab,
Segal enriched category,,,Segal category?,,https://ncatlab.org/nlab/show/Segal+category,
